match_id,date,team,opponent,corners_for,corners_against,cards,fouls,shots,sot_for,sot_against,referee,is_home
1544359,2026-06-04 19:00:00,Iraq,Spain,3,5,2,10,3,2,4,"Florian Badstubner, Germany",0
1511778,2026-03-31 19:00:00,Spain,Egypt,11,0,0,11,25,6,1,G. Kabakov,1
1511778,2026-03-31 19:00:00,Egypt,Spain,0,11,6,9,4,1,6,G. Kabakov,0
1536910,2026-03-27 20:00:00,Spain,Serbia,5,1,0,14,14,8,2,"Luís Godinho, Portugal",1
1536910,2026-03-27 20:00:00,Serbia,Spain,1,5,0,2,2,2,8,"Luís Godinho, Portugal",0
1366326,2025-11-18 19:45:00,Spain,Turkey,6,3,1,5,21,9,7,F. Zwayer,1
1366326,2025-11-18 19:45:00,Turkey,Spain,3,6,5,8,13,7,9,F. Zwayer,0
1366317,2025-11-15 17:00:00,Georgia,Spain,4,6,0,9,6,2,7,B. Bastien,1
1366317,2025-11-15 17:00:00,Spain,Georgia,6,4,1,9,14,7,2,B. Bastien,0
1366308,2025-10-14 18:45:00,Spain,Bulgaria,11,0,0,7,33,11,0,W. Delajod,1
1366308,2025-10-14 18:45:00,Bulgaria,Spain,0,11,0,6,3,0,11,W. Delajod,0
1366300,2025-10-11 18:45:00,Spain,Georgia,10,0,1,12,24,7,1,M. Lukjancukas,1
1366300,2025-10-11 18:45:00,Georgia,Spain,0,10,0,8,1,1,7,M. Lukjancukas,0
1366289,2025-09-07 18:45:00,Turkey,Spain,8,4,0,6,11,2,12,M. Oliver,1
1366289,2025-09-07 18:45:00,Spain,Turkey,4,8,0,9,21,12,2,M. Oliver,0
1525494,2026-06-10 20:00:00,England,Costa Rica,11,1,0,7,28,8,0,"Facundo Raul Tello Figueroa, Argentina",1
1525494,2026-06-10 20:00:00,Costa Rica,England,1,11,4,24,1,0,8,"Facundo Raul Tello Figueroa, Argentina",0
1525492,2026-06-06 20:00:00,England,New Zealand,8,1,0,10,23,4,1,"Natalie Simon, USA",1
1525492,2026-06-06 20:00:00,New Zealand,England,1,8,0,13,3,1,4,"Natalie Simon, USA",0
1502473,2026-03-31 18:45:00,England,Japan,11,1,0,7,19,4,2,N. Walsh,1
1502473,2026-03-31 18:45:00,Japan,England,1,11,2,13,7,2,4,N. Walsh,0
1323361,2025-11-16 17:00:00,Albania,England,5,5,1,9,6,3,7,M. Guida,1
1323361,2025-11-16 17:00:00,England,Albania,5,5,2,10,14,7,3,M. Guida,0
1323347,2025-11-13 19:45:00,England,Serbia,6,5,0,13,19,6,1,I. Kruzliak,1
1323347,2025-11-13 19:45:00,Serbia,England,5,6,1,10,7,1,6,I. Kruzliak,0
1323342,2025-10-14 18:45:00,Latvia,England,2,9,4,11,6,1,7,A. Sidiropoulos,1
1323342,2025-10-14 18:45:00,England,Latvia,9,2,1,5,24,7,1,A. Sidiropoulos,0
1352905,2025-10-09 18:45:00,England,Wales,8,2,2,10,17,5,2,"Urs Schnyder, Switzerland",1
1352905,2025-10-09 18:45:00,Wales,England,2,8,1,9,10,2,5,"Urs Schnyder, Switzerland",0
1323310,2025-09-09 18:45:00,Serbia,England,2,6,2,11,3,0,12,C. Turpin,1
1323310,2025-09-09 18:45:00,England,Serbia,6,2,1,10,24,12,0,C. Turpin,0
1323291,2025-09-06 16:00:00,England,Andorra,8,0,1,10,11,7,0,M. Al-Emara,1
1323291,2025-09-06 16:00:00,Andorra,England,0,8,1,8,2,0,7,M. Al-Emara,0
1352903,2025-06-10 18:45:00,England,Senegal,5,3,2,12,9,4,9,"Stephanie Frappart, France",1
1352903,2025-06-10 18:45:00,Senegal,England,3,5,1,18,11,9,4,"Stephanie Frappart, France",0
1489385,2026-06-17 23:00:00,Ghana,Panama,2,2,1,9,8,2,4,"Glenn Nyberg, Sweden",1
1489385,2026-06-17 23:00:00,Panama,Ghana,2,2,2,11,11,4,2,"Glenn Nyberg, Sweden",0
1528276,2026-03-31 17:30:00,South Africa,Panama,1,1,3,11,6,1,4,T. Ketshabile,1
1528276,2026-03-31 17:30:00,Panama,South Africa,1,1,4,13,8,4,1,T. Ketshabile,0
1527857,2026-03-27 17:00:00,South Africa,Panama,5,1,1,12,12,5,2,T. Ketshabile,1
1527857,2026-03-27 17:00:00,Panama,South Africa,1,5,2,3,3,2,5,T. Ketshabile,0
1501810,2026-01-23 01:00:00,Panama,Mexico,1,9,1,4,4,1,3,G. J. Gonzalez,1
1501810,2026-01-23 01:00:00,Mexico,Panama,9,1,2,9,9,3,1,G. J. Gonzalez,0
1397467,2025-11-19 01:00:00,Panama,El Salvador,4,1,1,22,21,10,1,,1
1397467,2025-11-19 01:00:00,El Salvador,Panama,1,4,2,17,6,1,10,,0
1446018,2025-11-14 02:00:00,Guatemala,Panama,9,2,0,11,24,8,5,"César Ramos Palazuelos, Mexico",1
1446018,2025-11-14 02:00:00,Panama,Guatemala,2,9,2,10,10,5,8,"César Ramos Palazuelos, Mexico",0
1446014,2025-10-15 01:00:00,Panama,Suriname,7,3,0,14,28,8,4,,1
1446014,2025-10-15 01:00:00,Suriname,Panama,3,7,1,11,8,4,8,,0
1397449,2025-10-11 01:00:00,El Salvador,Panama,3,5,3,21,10,2,2,D. Fischer,1
1397449,2025-10-11 01:00:00,Panama,El Salvador,5,3,0,14,7,2,2,D. Fischer,0
1489394,2026-06-21 04:00:00,Tunisia,Japan,3,5,0,8,2,0,5,"Istvan Kovacs, Romania",1
1489394,2026-06-21 04:00:00,Japan,Tunisia,5,3,0,15,11,5,0,"Istvan Kovacs, Romania",0
1489376,2026-06-14 20:00:00,Netherlands,Japan,5,4,3,7,10,6,3,"Ismail Elfath, USA",1
1489376,2026-06-14 20:00:00,Japan,Netherlands,4,5,0,7,10,3,6,"Ismail Elfath, USA",0
1540351,2026-05-31 10:25:00,Japan,Iceland,5,1,0,11,15,7,2,"Damian Kos, Poland",1
1540351,2026-05-31 10:25:00,Iceland,Japan,1,5,2,9,8,2,7,"Damian Kos, Poland",0
1511777,2026-03-28 17:00:00,Scotland,Japan,3,8,0,8,8,3,7,"Shaun Evans, Australia",1
1511777,2026-03-28 17:00:00,Japan,Scotland,8,3,2,18,18,7,3,"Shaun Evans, Australia",0
1469293,2025-11-18 10:15:00,Japan,Bolivia,1,2,2,8,8,6,0,,1
1469293,2025-11-18 10:15:00,Bolivia,Japan,2,1,1,12,12,0,6,,0
1485003,2025-11-14 10:20:00,Japan,Ghana,4,1,0,14,14,5,2,"Benjamin Abraham, Australia",1
1485003,2025-11-14 10:20:00,Ghana,Japan,1,4,0,7,7,2,5,"Benjamin Abraham, Australia",0
1396843,2025-10-10 10:20:00,Japan,Paraguay,6,1,1,14,11,6,2,"Ko Hyung-jin, South Korea",1
1396843,2025-10-10 10:20:00,Paraguay,Japan,1,6,0,10,7,2,6,"Ko Hyung-jin, South Korea",0
1375501,2025-09-09 23:30:00,United States,Japan,0,1,0,1,4,2,2,Bryan López,1
