match_id,team,opponent,corners_for,corners_against,cards,fouls,referee
3869117,United States,Netherlands,5,4,0,5,Wilton Pereira Sampaio
3857270,Portugal,Uruguay,6,2,3,11,Alireza Faghani
3857270,Uruguay,Portugal,2,6,2,16,Alireza Faghani
3857263,Spain,Germany,6,5,1,14,Danny Desmond Makkelie
3857263,Germany,Spain,5,6,3,15,Danny Desmond Makkelie
3857259,Cameroon,Serbia,4,3,2,9,Mohamed Abdulla Hassan Mohd
3857259,Serbia,Cameroon,3,4,2,16,Mohamed Abdulla Hassan Mohd
3857283,Belgium,Morocco,9,1,1,10,César Arturo Ramos Palazuelos
3857283,Morocco,Belgium,1,9,1,16,César Arturo Ramos Palazuelos
3857286,Qatar,Ecuador,1,3,4,17,Daniele Orsato
3857286,Ecuador,Qatar,3,1,2,14,Daniele Orsato
3857300,Argentina,Saudi Arabia,9,2,0,7,Slavko Vinčić
3857300,Saudi Arabia,Argentina,2,9,6,22,Slavko Vinčić
3857299,South Korea,Ghana,12,5,2,15,Anthony Taylor
3857299,Ghana,South Korea,5,12,2,10,Anthony Taylor
3857293,Ghana,Uruguay,5,2,2,21,Daniel Siebert
3857293,Uruguay,Ghana,2,5,5,11,Daniel Siebert
3857291,Spain,Costa Rica,5,0,0,8,
3857291,Costa Rica,Spain,0,5,2,14,
3857281,Croatia,Canada,5,2,2,15,Andrés Matonte
3857281,Canada,Croatia,2,5,2,6,Andrés Matonte
3857280,Cameroon,Brazil,3,11,5,17,Ismail Elfath
3857280,Brazil,Cameroon,11,3,2,15,Ismail Elfath
3857279,France,Australia,8,1,0,4,Victor Miguel de Freitas Gomes
3857279,Australia,France,1,8,3,14,Victor Miguel de Freitas Gomes
3857262,South Korea,Portugal,5,4,2,9,Facundo Tello Figueroa
3857262,Portugal,South Korea,4,5,0,10,Facundo Tello Figueroa
8650,Brazil,Belgium,8,4,2,20,Milorad Mažić
8650,Belgium,Brazil,4,8,2,18,Milorad Mažić
7584,Belgium,Japan,8,4,0,13,Malang Diedhiou
7584,Japan,Belgium,4,8,1,11,Malang Diedhiou
7554,England,Panama,3,2,1,14,Ghead Grisha
7554,Panama,England,2,3,3,13,Ghead Grisha
7539,Poland,Senegal,3,3,1,7,Nawaf Abdulla Ghayyath Shukralla
7539,Senegal,Poland,3,3,1,17,Nawaf Abdulla Ghayyath Shukralla
7550,Serbia,Switzerland,3,7,4,20,Felix Brych
7550,Switzerland,Serbia,7,3,1,13,Felix Brych
7538,Sweden,South Korea,6,5,1,19,Joel Antonio Aguilar Chicas
7538,South Korea,Sweden,5,6,2,22,Joel Antonio Aguilar Chicas
7534,Germany,Mexico,6,1,2,13,Alireza Faghani
7534,Mexico,Germany,1,6,2,15,Alireza Faghani
7543,Iran,Spain,2,6,2,14,Andrés Cunha
7543,Spain,Iran,6,2,0,15,Andrés Cunha
7544,Uruguay,Saudi Arabia,3,2,0,13,Clément Turpin
7544,Saudi Arabia,Uruguay,2,3,0,12,Clément Turpin
7546,France,Peru,5,2,2,11,Mohamed Abdulla Hassan Mohd
7546,Peru,France,2,5,2,14,Mohamed Abdulla Hassan Mohd
7545,Argentina,Croatia,5,2,4,20,Ravshan Irmatov
7545,Croatia,Argentina,2,5,4,23,Ravshan Irmatov
7585,Colombia,England,2,7,6,23,Mark Geiger
7585,England,Colombia,7,2,2,13,Mark Geiger
7569,Panama,Tunisia,0,6,1,20,Nawaf Abdulla Ghayyath Shukralla
7569,Tunisia,Panama,6,0,3,20,Nawaf Abdulla Ghayyath Shukralla
7572,Japan,Poland,5,7,1,12,Janny Sikazwe
7572,Poland,Japan,7,5,0,9,Janny Sikazwe
7561,Iceland,Croatia,10,5,3,14,Antonio Miguel Mateu Lahoz
7561,Croatia,Iceland,5,10,1,13,Antonio Miguel Mateu Lahoz
7540,Russia,Egypt,7,4,2,10,Enrique Cáceres
7540,Egypt,Russia,4,7,1,11,Enrique Cáceres
7531,Argentina,Iceland,10,2,0,11,Szymon Marciniak
7531,Iceland,Argentina,2,10,0,17,Szymon Marciniak
7570,England,Belgium,7,2,0,14,Damir Skomina
7570,Belgium,England,2,7,2,16,Damir Skomina
7586,Sweden,Switzerland,3,11,1,12,Damir Skomina
7586,Switzerland,Sweden,11,3,3,16,Damir Skomina
7557,Iran,Portugal,0,5,1,16,Enrique Cáceres
7557,Portugal,Iran,5,0,2,9,Enrique Cáceres
7542,Portugal,Morocco,5,7,1,18,Mark Geiger
7542,Morocco,Portugal,7,5,1,23,Mark Geiger
8656,Croatia,England,8,4,2,26,Cüneyt Çakιr
8656,England,Croatia,4,8,1,13,Cüneyt Çakιr
7548,Brazil,Costa Rica,10,1,2,11,Björn Kuipers
7548,Costa Rica,Brazil,1,10,1,17,Björn Kuipers
7578,Egypt,Uruguay,0,5,1,16,Björn Kuipers
7578,Uruguay,Egypt,5,0,0,7,Björn Kuipers
7553,South Korea,Mexico,7,4,3,26,Milorad Mažić
7553,Mexico,South Korea,4,7,0,8,Milorad Mažić
7536,Belgium,Panama,9,3,3,17,Janny Sikazwe
7536,Panama,Belgium,3,9,5,20,Janny Sikazwe
7555,Poland,Colombia,7,5,2,17,César Arturo Ramos Palazuelos
7555,Colombia,Poland,5,7,0,11,César Arturo Ramos Palazuelos
7576,Portugal,Spain,3,5,1,13,Gianluca Rocchi
7576,Spain,Portugal,5,3,1,11,Gianluca Rocchi
7565,Serbia,Brazil,5,8,3,14,Alireza Faghani
7565,Brazil,Serbia,8,5,0,7,Alireza Faghani
7551,Germany,Sweden,5,3,2,12,Szymon Marciniak
7551,Sweden,Germany,3,5,2,17,Szymon Marciniak
7537,Tunisia,England,2,7,0,15,Wilmar Alexander Roldán Pérez
7537,England,Tunisia,7,2,1,9,Wilmar Alexander Roldán Pérez
7580,France,Argentina,0,4,2,23,Alireza Faghani
7580,Argentina,France,4,0,4,14,Alireza Faghani
7581,Croatia,Denmark,5,4,0,7,Néstor Fabián Pitana
7581,Denmark,Croatia,4,5,1,19,Néstor Fabián Pitana
7549,Nigeria,Iceland,6,5,1,10,Matthew Conger
7549,Iceland,Nigeria,5,6,0,12,Matthew Conger
7529,Croatia,Nigeria,6,4,2,21,Sandro Ricci
7529,Nigeria,Croatia,4,6,1,15,Sandro Ricci
7562,Australia,Peru,8,3,3,12,Sergey Karasev
7562,Peru,Australia,3,8,2,12,Sergey Karasev
7571,Senegal,Colombia,1,3,1,15,Milorad Mažić
7571,Colombia,Senegal,3,1,1,16,Milorad Mažić
7568,Switzerland,Costa Rica,6,3,2,10,Clément Turpin
7568,Costa Rica,Switzerland,3,6,2,15,Clément Turpin
7530,France,Australia,5,1,1,17,Andrés Cunha
7530,Australia,France,1,5,3,20,Andrés Cunha
7558,Uruguay,Russia,4,2,1,19,Malang Diedhiou
7558,Russia,Uruguay,2,4,2,19,Malang Diedhiou
7583,Brazil,Mexico,8,7,2,8,Gianluca Rocchi
7583,Mexico,Brazil,7,8,4,19,Gianluca Rocchi
7547,Denmark,Australia,3,5,2,7,Antonio Miguel Mateu Lahoz
